step,seed,state,volume,interface_k,broken
9,0,0.0,1.0,1.0,0
9,1,-0.0,1.0,0.999999,0
9,2,2e-05,1.000002,0.999944,0
9,3,-0.000475,0.999945,0.998781,0
9,4,0.006334,1.000808,0.985178,0
9,5,-0.050492,0.992766,0.894214,0
9,6,0.228806,1.039048,0.578082,0
9,7,-0.553709,0.874782,0.078648,1
9,8,0.766346,1.257236,1e-06,1
9,9,-0.784434,0.604268,1.0,0
9,10,1.005804,1.532022,1.0,0
9,11,-0.791556,0.684888,1.0,0
9,12,0.432001,1.148761,0.391448,0
9,13,-0.241364,0.939587,0.619739,0
9,14,0.105583,1.019429,0.785092,0
9,15,-0.026502,0.995975,0.923028,0
9,16,0.003966,1.000522,0.982959,0
9,17,-0.000344,0.999959,0.997678,0
9,18,1.6e-05,1.000002,0.999812,0
9,19,0.0,1.0,0.999812,0
10,0,0.0,1.0,1.0,0
10,1,-6e-06,0.999999,0.999984,0
10,2,0.000149,1.000017,0.99961,0
10,3,-0.002299,0.999715,0.994461,0
10,4,0.022031,1.003011,0.951739,0
10,5,-0.126927,0.980074,0.752659,0
10,6,0.404334,1.079482,0.301167,0
10,7,-0.692754,0.805506,1e-06,1
10,8,0.792301,1.336466,1e-06,1
10,9,-1.231993,0.481068,1e-06,1
10,10,1.902703,1.722292,1e-06,1
10,11,-1.546785,0.530209,1e-06,1
10,12,0.803788,1.22914,1e-06,1
10,13,-0.361015,0.903485,0.263114,0
10,14,0.185262,1.037955,0.640666,0
10,15,-0.059458,0.990029,0.853248,0
10,16,0.012056,1.001728,0.958973,0
10,17,-0.001493,0.99981,0.992516,0
10,18,0.00011,1.000013,0.999144,0
10,19,0.0,1.0,0.999144,0
11,0,0.0,1.0,1.0,0
11,1,-4.6e-05,0.999995,0.99988,0
11,2,0.0008,1.000097,0.998028,0
11,3,-0.00896,0.998819,0.979652,0
11,4,0.063522,1.009363,0.86983,0
11,5,-0.262333,0.95384,0.523643,0
11,6,0.586901,1.138172,0.027759,1
11,7,-0.775356,0.727971,1e-06,1
11,8,0.792302,1.415697,1.0,0
11,9,-1.231995,0.357869,1.0,0
11,10,1.902704,1.912563,1.0,0
11,11,-1.546786,0.375531,1.0,0
11,12,0.803789,1.309519,1.0,0
11,13,-0.396949,0.86379,0.417787,0
11,14,0.260391,1.063994,0.581898,0
11,15,-0.113909,0.978638,0.767537,0
11,16,0.030559,1.004784,0.91502,0
11,17,-0.005138,0.999296,0.979789,0
11,18,0.000535,1.000066,0.996904,0
11,19,0.0,1.0,0.996904,0
12,0,0.0,1.0,1.0,0
12,1,-0.000269,0.999968,0.999332,0
12,2,0.003446,1.000442,0.991944,0
12,3,-0.029146,0.995904,0.937649,0
12,4,0.152133,1.024576,0.70905,0
12,5,-0.444367,0.909404,0.240122,0
12,6,0.707528,1.208924,1e-06,1
12,7,-0.78481,0.64949,1e-06,1
12,8,1.298377,1.545534,1e-06,1
12,9,-2.521744,0.105695,1e-06,1
12,10,3.548752,2.267438,1e-06,1
12,11,-2.996802,0.075851,1e-06,1
12,12,1.691617,1.478681,1e-06,1
12,13,-0.765791,0.787211,1e-06,1
12,14,0.383499,1.102344,0.230159,0
12,15,-0.196081,0.95903,0.621167,0
12,16,0.066445,1.011428,0.841313,0
12,17,-0.014694,0.997827,0.952942,0
12,18,0.002058,1.000272,0.990658,0
12,19,0.0,1.0,0.990658,0
13,0,0.0,1.0,1.0,0
13,1,-0.001264,0.999842,0.997014,0
13,2,0.012457,1.001687,0.97239,0
13,3,-0.079723,0.987932,0.839947,0
13,4,0.300364,1.054613,0.462901,0
13,5,-0.619253,0.847478,1e-06,1
13,6,0.776677,1.286592,1e-06,1
13,7,-0.784811,0.571009,1.0,0
13,8,1.298378,1.675372,1.0,0
13,9,-2.521746,0.01,1.0,0
13,10,3.548755,2.622313,1.0,0
13,11,-2.996805,0.01,1.0,0
13,12,1.691618,1.647843,1.0,0
13,13,-0.765791,0.710632,1.0,0
13,14,0.416848,1.144029,0.387068,0
13,15,-0.270198,0.932011,0.568624,0
13,16,0.12428,1.023856,0.752505,0
13,17,-0.035751,0.994252,0.904882,0
13,18,0.006559,1.000928,0.975912,0
13,19,0.0,1.0,0.975912,0
14,0,0.0,1.0,1.0,0
14,1,-0.005,0.999342,0.988781,0
14,2,0.038285,1.005516,0.919821,0
14,3,-0.181945,0.969737,0.658306,0
14,4,0.486601,1.103273,0.176079,1
14,5,-0.725676,0.774911,1e-06,1
14,6,0.776678,1.36426,1.0,0
14,7,-1.305608,0.440448,1e-06,1
14,8,2.774207,1.952793,1e-06,1
14,9,-4.994402,0.01,1e-06,1
14,10,6.70277,3.29259,1e-06,1
14,11,-5.805301,0.01,1e-06,1
14,12,3.478077,1.99565,1e-06,1
14,13,-1.675804,0.543052,1e-06,1
14,14,0.778992,1.221928,1e-06,1
14,15,-0.392759,0.892735,0.217795,0
14,16,0.210463,1.044902,0.600127,0
14,17,-0.075428,0.986709,0.825434,0
14,18,0.017731,1.002701,0.945979,0
14,19,0.0,1.0,0.945979,0
15,0,0.0,1.0,1.0,0
15,1,-0.016949,0.997647,0.964016,0
15,2,0.099628,1.015479,0.803906,0
15,3,-0.342615,0.935476,0.396334,0
15,4,0.649992,1.168272,1e-06,1
15,5,-0.779041,0.697007,1e-06,1
15,6,1.29725,1.493985,1e-06,1
15,7,-1.826181,0.25783,1e-06,1
15,8,2.77421,2.230214,1.0,0
15,9,-4.994407,0.01,1.0,0
15,10,6.702776,3.962868,1.0,0
15,11,-5.805307,0.01,1.0,0
15,12,3.47808,2.343458,1.0,0
15,13,-1.675806,0.375471,1.0,0
15,14,0.778993,1.299827,1.0,0
15,15,-0.425604,0.850174,0.363931,0
15,16,0.2862,1.073522,0.545127,0
15,17,-0.137545,0.972954,0.731705,0
15,18,0.041148,1.006816,0.894759,0
15,19,0.0,1.0,0.894759,0
